Центральный офис                   ;MOCO
Технический Д/Р ф-л Сахалинский    ;XB99
Филиал Новосибирский               ;NVCO
"ОО ""Томский"" филиала ""Новосибирский";NVTM
"ОО ""Омский"" ф-ла ""Новосибирский""   ";NVOM
"ОО ""Кемеровский"" ф-ла ""Новосибирски";NVKM
"ОО ""Новокузнецкий"" филиала ""Новосиб";NVNK
"ОО ""Иркутский"" филиала ""Новосибирск";NVIR
"ОО ""Ангарский"" филиала ""Новосибирск";NVAN
"ОО ""Алтайский"" АО ""АЛЬФА-БАНК""     ";NVAL
Технический Д/Р ф-л Иркутский      ;NV96
Технический Д/Р ф-л Алтайский      ;NV97
Технический Д/Р ф-л Кемеровский    ;NV98
Технический Д/Р ф-л Омский         ;NV99
Филиал Ростовский                  ;ROCO
"ОО ""Волгоградский""                 ";ROVO
"ОО""КРАСНОДАРСКИЙ""Филиал""Ростовский""";ROKR
"ОО ""Черноморский""                  ";ROCH
"ОО ""Туапсинский""                   ";ROTU
Технический Д/Р ф-л Волгоградский  ;RO98
Технический Д/Р ф-л Краснодарский  ;RO99
Филиал Нижегородский               ;NZCO
"ОО ""САРАТОВСКИЙ""                   ";NZSR
"ОО ""Ижевский""                      ";NZIJ
"ОО ""Глазовский""                    ";NZGL
"ОО ""ЧЕБОКСАРСКИЙ""                  ";NZCH
"ДО ""Пушкинский"" Ф-ла               ";NZPU
"ОКВКУ ""Ижевск-Центральная""         ";NZIC
Технический Д/Р ф-л Ижевский       ;NZ99
"Филиал ""Санкт-Петербургский""       ";PTCO
"ДO ""Заневский"" Ф-ла ""Санкт-Петербур";PTZN
"ДO ""Казанская площадь"" Ф-ла C-П    ";PTKZ
"ДО ""Кировский"" Ф-ла ""Санкт-Петербур";PTKR
"ДО ""Кузнецовский"" Ф-ла ""Санкт-Петер";PTKU
"ДО ""Лахта"" Ф-ла ""Санкт-Петербургски";PTLA
"ДО ""Лиговский"" Ф-ла ""Санкт-Петербур";PTLG
"ДО ""Литейный"" Ф-ла ""Санкт-Петербург";PTLT
"Обменный пункт №1ф-л ""Санкт-Петербу";PTOP
